item_id,title,brand,user_id,rating,timestamp,sub_cat,main_cat,age,gender,location
B00ENFVJJO,powera dualshock 4 charge station playstation 4,powera,A30E7ZUWMO2E8V,5.0,2017-01-05,Video_Games,Electronics and Technology,18-24,female,Canada
B00AEM2EGW,je206 man woman faux spinal gemstone ring silver bold quality ring jewelry,quality brand,A4FQC6UQO6W84,5.0,2013-09-20,All_Beauty,Beauty and Fashion,45-54,female,Canada
B006GHA8EE,witcher 2 assassin king enhance edition,wb game,A3GPR3LKLWHSXS,2.0,2014-01-21,Video_Games,Electronics and Technology,35-44,female,Canada
B0001HAI8G,mvp baseball 2004 gamecube,electronic art,A1PQNBC3IG5DWD,1.0,2015-08-23,Video_Games,Electronics and Technology,25-34,male,UK
B000CBCVFE,resident evil deadly silence nintendo ds,capcom,A3FJKFJ61BU32J,5.0,2017-08-17,Video_Games,Electronics and Technology,18-24,female,USA
B00006FWUV,ps2 dualshock 2 controller gray,sony,A273DUE538OE58,5.0,2017-01-23,Video_Games,Electronics and Technology,18-24,male,Canada
B00C0K4YHI,sim 3 starter pack pc mac,electronic art,ATCSXO15AYR6J,1.0,2016-01-30,Video_Games,Electronics and Technology,18-24,male,USA
B00C1XYUY6,circle pad cover nintendo 3ds ll/3ds black accessory japan inport,cyber gadget,A1XQRKW02Q7QTW,5.0,2016-07-25,Video_Games,Electronics and Technology,35-44,female,Australia
B005UDTT7C,ultimate marvel vs capcom 3 playstation vita,capcom,A3TF6A1YMYJQ9U,4.0,2012-03-07,Video_Games,Electronics and Technology,25-34,male,India
B0001UEHP8,fable good platinum xbox platinum,microsoft,A310CCSO7MZLNF,5.0,2015-11-20,Video_Games,Electronics and Technology,35-44,female,USA
B00002ST27,super mario land 2 6 golden coin,nintendo,A1Y8OH1IA2JOW6,5.0,2013-04-03,Video_Games,Electronics and Technology,45-54,male,USA
B007CSF3GO,story nintendo wii,xseed game,AVY32ZTS1CM3T,5.0,2013-09-05,Video_Games,Electronics and Technology,35-44,female,India
B00002SVFR,super mario kart,nintendo,A1YZ4XA3C0WNY3,5.0,2003-10-29,Video_Games,Electronics and Technology,18-24,female,UK
