item_id,title,brand,user_id,rating,timestamp,sub_cat,main_cat
B00ENFVJJO,PowerA DualShock 4 Charging Station for PlayStation 4,"by
    
    PowerA",A30E7ZUWMO2E8V,5.0,"01 5, 2017",Video_Games,Electronics and Technology
B00AEM2EGW,"JE206 Men Women Faux Spinal Gemstone Ring, Silver Bold Quality Ring Jewelry",Quality Brand,A4FQC6UQO6W84,5.0,"09 20, 2013",All_Beauty,Beauty and Fashion
B006GHA8EE,The Witcher 2: Assassins Of Kings Enhanced Edition,"by
    
    WB Games",A3GPR3LKLWHSXS,2.0,"01 21, 2014",Video_Games,Electronics and Technology
B0001HAI8G,MVP Baseball 2004 - Gamecube,"by
    
    Electronic Arts",A1PQNBC3IG5DWD,1.0,"08 23, 2015",Video_Games,Electronics and Technology
B000CBCVFE,Resident Evil Deadly Silence - Nintendo DS,"by
    
    Capcom",A3FJKFJ61BU32J,5.0,"08 17, 2017",Video_Games,Electronics and Technology
B00006FWUV,PS2 DualShock 2 Controller - Gray,"by
    
    Sony",A273DUE538OE58,5.0,"01 23, 2017",Video_Games,Electronics and Technology
B00C0K4YHI,The Sims 3 Starter Pack - PC/Mac,"by
    
    Electronic Arts",ATCSXO15AYR6J,1.0,"01 30, 2016",Video_Games,Electronics and Technology
B00C1XYUY6,Circle Pad Cover - Nintendo (3DS LL/3DS) Black Accessory Japan Inport,Cyber Gadget,A1XQRKW02Q7QTW,5.0,"07 25, 2016",Video_Games,Electronics and Technology
B005UDTT7C,Ultimate Marvel vs Capcom 3 - PlayStation Vita,"by
    
    Capcom",A3TF6A1YMYJQ9U,4.0,"03 7, 2012",Video_Games,Electronics and Technology
B0001UEHP8,Fable - Best of Platinum - Xbox (Platinum),"by
    
    Microsoft",A310CCSO7MZLNF,5.0,"11 20, 2015",Video_Games,Electronics and Technology
B017I7PKE8,Orangesky 1pair Fashion Women Alloy Leaf Stud Dangle Earings Eardrop Jewelry,,A21I4I8G5TZM6X,5.0,"06 10, 2016",All_Beauty,Beauty and Fashion
B00002ST27,Super Mario Land 2: 6 Golden Coins,"by
    
    Nintendo",A1Y8OH1IA2JOW6,5.0,"04 3, 2013",Video_Games,Electronics and Technology
B007CSF3GO,The Last Story - Nintendo Wii,"by
    
    Xseed Games",AVY32ZTS1CM3T,5.0,"09 5, 2013",Video_Games,Electronics and Technology
B00002SVFR,Super Mario Kart,"by
    
    Nintendo",A1YZ4XA3C0WNY3,5.0,"10 29, 2003",Video_Games,Electronics and Technology
B0179AAO2C,More Than Trade Men's Sun Protection Outdoor Fishing Cap Wide Brim Hat Dark Grey,More Than Trade,A28R4F3M14ZII6,5.0,"07 15, 2016",AMAZON_FASHION,Beauty and Fashion
B00RNDC49C,"Sentey Gaming Headset Blue Arrow Analog 3.5mm In-line Volume Control &amp; Computer Headset with Microphone Gaming Headphones Headphone Pc, Mac or Laptop, Tablet, Mobile Phones / Headset with Mic Heavy Duty Braided 2 Meters Cable / Leather Padded Ear Pads with Passive Noise Canceling / Computer Gaming Headset Ergonomic Adaptive Leather Headband (Extreme Comfort) - Computer Gaming Headset Stereo Left and Right Drivers 40mm / Cap Connector / Computer Headset to Work and Play / Skype Headset - Gaming Headsets for Chat and Play Gs-4520",Sentey,A2MZW171GAE3DE,3.0,"12 22, 2016",Video_Games,Electronics and Technology
B01761TKUQ,"Dobelove Women's Black Mermaid Hoop Bridal Petticoat,Black,One Size",Dobelove,A2JW3LNB9WTZ1F,5.0,"11 20, 2015",AMAZON_FASHION,Beauty and Fashion
B00E4MQODC,"Logitech G602 Lag-Free Wireless Gaming Mouse &ndash; 11 Programmable Buttons, Up to 2500 DPI",Logitech,A2J6OATBFG7XAN,2.0,"11 21, 2017",Video_Games,Electronics and Technology
B00Z5O6KEG,Captain America Adjustable Back Shield Harness with Buckle Accessory,OEM,A2B34ROW0WQGJB,2.0,"03 24, 2018",AMAZON_FASHION,Beauty and Fashion
B016Z6558O,Women's Two Button Tweed Cabbie Hat - Brown OSFM,Jeanne Simmons,A2K0MKLWH8RBGY,5.0,"08 28, 2016",AMAZON_FASHION,Beauty and Fashion
B000OFSBL6,Component AV Cable for Nintendo Wii to HDTV,"by
    
    Trenro",AVC5LWUMQ36YH,5.0,"03 19, 2015",Video_Games,Electronics and Technology
B00005NN5J,Namco Ace Combat 4 Shattered Skies,Playstation,A16TICCVKNHBT2,5.0,"08 10, 2013",Video_Games,Electronics and Technology
B00005JS5C,Panasonic Bikini Shaper and Trimmer for Women ES246AC; Compact; Portable Design with Adjustable Trim Settings; Battery Operated,Panasonic,A3RKT3BIRAPNIA,1.0,"06 1, 2016",All_Beauty,Beauty and Fashion
B00KKAQYXM,"HAVIT HV-MS672 3200DPI Wired Mouse, 4 Adjustable DPI Levels, 800/1200/2400/3200DPI, 7 Circular &amp; Breathing LED Light, 6 Buttons (Black)(Updated Version)",Havit,A3BNIE80FVCIRM,5.0,"01 4, 2016",Video_Games,Electronics and Technology
B00ZW3SCF0,LaSuiveur Womens Crop Top Midi Skirt Outfit Two Piece Bodycon Bandage Dress,LaSuiveur,A2Y47GEVCBOAWI,5.0,"06 28, 2018",AMAZON_FASHION,Beauty and Fashion
B00004SW1N,World Series Baseball 2 - Sega Saturn,"by
    
    Sega",AVKCH9QDO1M5,4.0,"06 2, 2010",Video_Games,Electronics and Technology
B00S6XXQ7C,H&R London Lily Dress (XS),H&R London,A2RLJP8L2PEEA7,3.0,"04 9, 2015",AMAZON_FASHION,Beauty and Fashion
B003O6JJKY,Xbox 360 250GB Console,"by
    
    Microsoft",A2BU45C3VJ1DNX,1.0,"12 23, 2011",Video_Games,Electronics and Technology
B001JTIM24,ITZABITZA,Sabi Inc.,A2V9ER227XDG00,5.0,"12 9, 2008",Software,Electronics and Technology
B0037STB02,"<span class=""a-size-medium a-color-secondary""",Meredith Corporation,A1RBTMN1VX1Y2C,1.0,"07 26, 2015",Magazine_Subscriptions,Media and Entertainment
B000NV8F58,Halo 2 - PC,"by
    
    Microsoft",A11BTH6JXQ3D4O,5.0,"01 26, 2014",Video_Games,Electronics and Technology
B015W8IEFC,"Lumia 640 Case, Microsoft Lumia 640 Wallet Case, Harryshell(TM) Butterfly Flower Wallet Folio Leather Flip Case Cover Build in Credit Card Id Holder for Microsoft Lumia 640 LTE/ Nokia Lumia 640",Harryshell,AKES43KP9KD1Q,1.0,"06 16, 2016",AMAZON_FASHION,Beauty and Fashion
B00005A3I8,Diablo 2 Expansion: Lord of Destruction - PC/Mac,"by
    
    Blizzard Entertainment",A3ED3MHVD2VMZH,4.0,"07 28, 2002",Video_Games,Electronics and Technology
B001FPX65U,Ranch Rush - PC,"by
    
    Mumbo Jumbo",A3O3YIQJF98BSK,5.0,"09 6, 2011",Video_Games,Electronics and Technology
B000694OKM,Johnston & Murphy Casual Money Clip Card Case (Mahogany),Johnston & Murphy,A19689UZRF1JP3,1.0,"02 7, 2007",AMAZON_FASHION,Beauty and Fashion
B0001UEHP8,Fable - Best of Platinum - Xbox (Platinum),"by
    
    Microsoft",A3SX6XS1FPSRVB,5.0,"09 18, 2013",Video_Games,Electronics and Technology
B00G0OYHCW,Nintendo Wii U Deluxe Set: Super Mario Bros U &amp; Luigi U (32 GB),"by
    
    Nintendo",A3RLBSYOUMUYTO,5.0,"10 7, 2014",Video_Games,Electronics and Technology
B000B69E96,Phoenix Wright: Ace Attorney - Nintendo DS,"by
    
    Capcom",A13F44EXHW3JK5,5.0,"06 9, 2015",Video_Games,Electronics and Technology
B003KM98NK,The Sims 3 - Nintendo Wii,"by
    
    Electronic Arts",A2PSH5BCN48KLE,1.0,"12 19, 2014",Video_Games,Electronics and Technology
B0007V0YZ8,Shattered Steel,"by
    
    Interplay Productions, Inc.",A2FIPNC9HATXC4,5.0,"08 12, 2011",Video_Games,Electronics and Technology
B000A3I9YQ,Generic AC Adapter for Nintendo DS and Game Boy Advance SP - Nintendo DS,Generic,A3ALQ6W9LP0ETX,1.0,"02 12, 2015",Video_Games,Electronics and Technology
B000X1TC0U,Dead Space (PlayStation 3),"by
    
    Electronic Arts",A9Q2AIDBPGSNH,4.0,"11 9, 2009",Video_Games,Electronics and Technology
B0199KNQV6,Z&s Mens Slouchy Stripe Beanie Knit Skull Cap Unisex Hat (6 Ccolor) (B100-Claret),FORBUSITE,ACU76YS6J9GSA,4.0,"02 4, 2016",AMAZON_FASHION,Beauty and Fashion
B018EKX1UI,"Gaming Headset for Playstation 4 Tablet PC Mobilephones iPhone 6/6s/6 plus/5s/5c/5, KOTION Each G9000 3.5mm Over-Ear Headphone with Microphone Volume Control LED Light - Black + Blue",YSSHUI,A3WP6NIGNWCH2,2.0,"09 18, 2016",Video_Games,Electronics and Technology
B00O58UWSI,Buckle Rage Mens Bottle Opener Antique vintage Belt Buckle Finish,Buckle Rage,A1G2JSE2K3NEF4,3.0,"03 21, 2015",AMAZON_FASHION,Beauty and Fashion
B001IK8EDQ,New Xbox 360 Console Protective Decal Skin - Stars N Stripes,"by
    
    Xbox 360",A1M3GQSEFJOH35,1.0,"03 27, 2011",Video_Games,Electronics and Technology
B0014KJ6EQ,MacSpeech Dictate [Old Version],MacSpeech,A1ISUHF3KFUZ3Y,2.0,"05 14, 2009",Software,Electronics and Technology
B0028ZH7GU,Guitar Hero 5 - Nintendo Wii (Game only),"by
    
    Activision",ACO1XOMPZP5ZQ,5.0,"10 3, 2009",Video_Games,Electronics and Technology
B005EQD2QE,McAfee PC Attach AntiVirus Plus 1 User 2012,McAfee Marketing,A306KW7LK6ZOPB,1.0,"08 6, 2014",Software,Electronics and Technology
B00YJJ0OQS,Xbox One Wireless Controller [Without Bluetooth],"by
    
    Microsoft",A38SGW1X2HAYZU,2.0,"08 17, 2016",Video_Games,Electronics and Technology
B00XR3YBNO,WWE 2K16 - PlayStation 3,"by
    
    2K Games",A1DE5L2R2YSR6F,4.0,"05 11, 2016",Video_Games,Electronics and Technology
B00005NIOR,"<span class=""a-size-medium a-color-secondary""",Hearst Magazines,AL4IYQEJC3V6R,4.0,"05 1, 2014",Magazine_Subscriptions,Media and Entertainment
B00DHF39L2,Wolfenstein: The New Order,"by
    
    Bethesda",A1E5F4N7REQ72E,5.0,"04 4, 2015",Video_Games,Electronics and Technology
B0141QCWMC,Bow Tie Belly Ring Belly Button Ring 316L Surgical Steel 14g Gold/Rhodium Plated,Pierced Owl,A11KTJR5RL1F6,2.0,"07 2, 2016",AMAZON_FASHION,Beauty and Fashion
B00JYGWWIO,Jovana Retro Big Eye Owl Pendant Design Necklace(Gold),JOVANA,A1Z2MPBKRRH9UG,2.0,"01 30, 2017",All_Beauty,Beauty and Fashion
B013C7GF92,Harem Yoga Pants Dance Gypsy mc Hammer Pants For Men And Women Size 0-14 US,SALWARWAY,A1H28VO6K9YI7,1.0,"01 2, 2016",AMAZON_FASHION,Beauty and Fashion
B00BXONG7G,Battlefield 4 [Online Game Code],"by
    
    Electronic Arts",ABDKJSJJ6E5F9,4.0,"02 25, 2014",Video_Games,Electronics and Technology
B00004T9CA,Tarot,windows 95,A37XGUQ1VH0XM6,5.0,"12 5, 2008",Software,Electronics and Technology
B0009VXBAQ,Wii,Nintendo,A13I9TLJ2CX429,3.0,"11 25, 2006",Video_Games,Electronics and Technology
B0010EI6TM,Tom Clancy's Rainbow Six Vegas 2 - PC,"by
    
    Ubisoft",A1A8OLGN3E761G,5.0,"01 5, 2009",Video_Games,Electronics and Technology
B00AAS88K6,Razer Orochi Mobile PC Gaming Mouse,Razer,A25WAM63RTU3IN,4.0,"06 6, 2015",Video_Games,Electronics and Technology
B00CKY3RE0,"Tommy John Cool Cotton Boxer Brief, Black, XX-Large",Tommy John,A1C7OMKYXGYBRT,1.0,"06 3, 2015",AMAZON_FASHION,Beauty and Fashion
B003ZSP0WW,Xbox 360 Wireless Controller - Glossy Black,Microsoft,A2XA86F7E4SA3U,5.0,"05 13, 2014",Video_Games,Electronics and Technology
